distance,depth,length,width
44.20,10,20,15
97.85,14,14,16
98.25,12,15,16
98.82,11,21,15
202.60,13,10,15
205.04,10,10,15
206.46,10,20,15
206.62,10,10,15
207.66,11,12,15
207.74,12,13,15
208.45,17,9,15
208.88,11,9,15
208.92,16,11,15
209.23,10,8,15
209.38,10,10,15
209.78,13,8,15
209.83,12,11,15
210.07,10,15,15
210.34,10,9,15
210.37,17,19,15
210.50,11,10,15
211.53,16,8,15
211.55,11,9,15
211.66,19,11,15
211.79,12,9,15
211.86,12,10,15
211.94,11,8,15
212.22,13,10,15
212.37,11,8,15
212.39,12,9,15
212.43,13,10,15
212.52,11,10,15
212.96,12,10,15
213.33,15,8,15
213.41,22,9,16
213.59,10,9,15
213.75,11,12,15
213.79,14,8,15
213.82,19,17,20
213.99,13,41,36
214.26,10,9,15
214.34,16,11,15
214.38,15,8,15
214.57,12,23,15
214.71,17,27,14
214.77,20,12,15
214.81,16,11,15
215.08,14,10,15
215.16,16,8,15
215.21,13,10,15
215.29,10,8,15
215.37,24,16,20
215.43,20,8,15
215.47,19,10,15
215.52,18,9,15
215.54,13,11,15
215.71,10,10,15
215.74,13,9,15
215.85,11,8,15
215.87,15,9,15
215.90,19,9,15
216.39,14,9,15
216.45,14,8,15
216.49,18,9,15
216.54,13,8,15
216.60,20,9,23
217.00,21,13,20
217.21,22,14,16
217.25,14,12,15
217.34,11,9,15
217.36,13,8,15
217.56,12,26,19
217.61,14,26,16
217.66,19,10,15
217.85,17,28,23
217.98,14,11,15
218.02,12,8,15
218.10,16,8,15
218.18,13,8,15
218.22,14,9,15
218.27,15,28,15
218.34,10,13,20
218.51,17,10,13
218.76,13,9,13
218.89,13,10,15
219.06,13,8,15
219.10,12,12,15
219.28,13,8,15
219.30,11,17,15
219.40,14,10,16
219.53,12,9,15
219.57,14,9,15
219.66,10,21,38
219.69,20,10,23
219.80,19,15,17
219.85,11,19,15
219.88,11,10,15
219.94,12,9,15
219.97,19,11,30
220.17,16,25,15
220.26,16,10,15
220.30,13,8,15
220.32,14,8,15
220.47,11,10,15
220.50,18,11,15
221.01,20,12,25
221.08,17,9,15
221.21,13,21,15
221.31,18,10,15
221.75,30,17,15
221.89,11,8,15
222.02,14,9,15
222.07,10,8,15
222.13,10,9,15
222.17,16,9,15
222.27,12,9,15
222.31,12,9,15
222.37,19,10,15
222.42,13,11,15
222.54,12,11,15
222.74,22,14,20
222.77,16,8,15
222.93,17,30,13
222.99,15,10,15
223.18,10,8,15
223.50,14,11,15
223.56,19,9,15
223.61,16,10,15
223.86,11,11,15
223.91,14,10,15
223.96,12,10,15
224.01,19,10,15
224.11,20,12,15
224.18,19,10,20
224.21,16,9,15
224.25,18,10,15
224.31,10,8,15
224.36,18,28,17
224.53,10,18,16
224.53,12,10,17
226.68,10,8,15
287.73,10,9,15
290.74,11,8,15
290.85,10,9,15
292.76,11,14,15
295.28,11,15,26
437.93,10,24,15
437.95,10,11,15
438.55,10,11,15
438.63,12,15,15
438.63,16,12,15
438.65,10,8,15
438.87,10,8,15
438.88,11,9,15
439.22,11,9,24
625.88,11,13,19
628.68,10,22,15
629.05,19,10,15
631.35,10,12,15
631.84,10,11,15
